run_id,timestamp,prompt_version,embedding_model,llm_model,temperature,chunk_size,chunk_overlap,top_k,dataset_version,accuracy,faithfulness,answer_relevancy,context_precision,context_recall,recall_at_3,mrr,intent_accuracy,no_answer_accuracy,citation_accuracy,avg_response_time_sec,p95_response_time_sec,avg_answer_length,cost_per_call_usd,notes
Exp-000,2026-05-30,v1,KoSimCSE-roberta,gpt-4o-mini,0.0,400,50,3,heritages-v1-5items,1.0,1.0,,,,1.0,,,1.0,1.0,,,140,,수동 평가 / 인사이트는 experiments.md 참조
Exp-001,2026-05-30,v1,KoSimCSE-roberta,gpt-4o-mini,0.0,400,50,3,heritages-v2-128items,0.9,,,,,0.8,,,1.0,1.0,,,180,,데이터 5→128. 검색은 부속 우세, 답변은 LLM 조합. 소프트 환각 의심 → Faithfulness 측정 필요
Exp-260531-1300,2026-05-31 13:01,v1,KoSimCSE-roberta,gpt-4o-mini,0.0,400,50,3,heritages-v3-627items,0.867,,,,,0.5,0.5,,,1.0,2.19,3.08,193,,5739개 베이스라인 (threshold 비활성)
Exp-100,2026-05-31 13:11,v1,KoSimCSE-roberta,gpt-4o-mini,0.0,400,50,3,heritages-v3-627items,0.631,,,,,0.355,0.309,,1.0,0.925,1.74,3.34,155,,5739개 베이스라인 + RAGAS (threshold 비활성)
Exp-100b,2026-05-31 13:19,v1,KoSimCSE-roberta,gpt-4o-mini,0.0,400,50,3,heritages-v3-627items,0.654,,,,,0.355,0.309,,1.0,0.925,1.84,3.14,156,,RAGAS 재시도 - 베이스라인
Exp-100c,2026-05-31 13:25,v1,KoSimCSE-roberta,gpt-4o-mini,0.0,400,50,3,heritages-v3-627items,0.671,,,,,0.355,0.309,,1.0,0.925,1.96,3.21,162,,RAGAS 3차 시도
Exp-100c,2026-05-31 13:30,v1,KoSimCSE-roberta,gpt-4o-mini,0.0,400,50,3,heritages-v3-627items,0.675,,,,,0.355,0.309,,1.0,0.925,1.72,3.06,162,,RAGAS 4차 시도
Exp-102,2026-05-31 13:36,v1,KoSimCSE-roberta,gpt-4o-mini,0.0,400,50,3,heritages-v3-627items,0.648,,,,,0.355,0.309,,1.0,0.925,1.68,2.98,156,,Top-K 5
Exp-100d,2026-05-31 14:26,v1,KoSimCSE-roberta,gpt-4o-mini,0.0,400,50,3,heritages-v3-627items,0.665,0.663,0.674,0.653,0.648,0.355,0.309,,1.0,0.925,2.05,3.85,161,,"베이스라인 + LLM-as-judge (k=3, v1)"
Exp-102,2026-05-31 14:30,v1,KoSimCSE-roberta,gpt-4o-mini,0.0,400,50,5,heritages-v3-627items,0.706,0.699,0.706,0.657,0.65,0.382,0.316,,1.0,0.925,2.13,4.0,171,,Top-K 5 비교
Exp-103,2026-05-31 14:35,v2,KoSimCSE-roberta,gpt-4o-mini,0.0,400,50,3,heritages-v3-627items,0.508,0.463,0.463,0.456,0.456,0.355,0.309,,1.0,0.925,1.41,2.81,108,,프롬프트 v2 환각 강화
Exp-104,2026-05-31 14:42,v1,KoSimCSE-roberta,gpt-4o-mini,0.0,400,50,3,heritages-v3-627items,0.648,0.659,0.684,0.642,0.635,0.355,0.309,,1.0,0.925,1.97,3.54,168,,"Metadata Filter 룰베이스 (k=3, v1)"
Exp-bgem3-100,2026-05-31,—,BAAI/bge-m3,—,,800,0,5,heritages-bgem3-5743-content,,,,,,0.461,0.379,,,,,,,,"도커프리 vector-only; R@5 0.50; single52.2/compare63.6/filter36.0; bestcos med0.584; 옛KoSimCSE35.5"
Exp-bgem3-101,2026-05-31,—,BAAI/bge-m3,—,,800,0,5,heritages-bgem3-5743-nameContent,,,,,,0.566,0.497,,,,,,,,"name+content; R@5 0.632; single56.5/compare63.6/filter64.0; filter+28%p vs100; name임베딩 채택"
Exp-bgem3-102,2026-05-31,—,BAAI/bge-m3,—,,800,0,5,heritages-bgem3-5743-nameContent-hybrid,,,,,,0.566,0.541,,,,,,,,"+hybrid(name어휘매칭); R@3 무변동 vs101; single56.5(0)/compare59.1(-4.5)/filter68.0(+4); naive한계(exact-first없음)"
